"","source","date","year","temperature","DO","salinity","potential_density","pres","cond","sampleID"
"210","Mooring",2021-06-10 06:40:26,"2021",7.7353,3.09318,33.4604,26.1038,43.888,3.455862,NA
"211","Mooring",2021-06-10 06:50:27,"2021",7.7369,3.09046,33.4598,26.1031,43.725,3.455939,NA
"212","Mooring",2021-06-10 07:00:26,"2021",7.7347,3.08898,33.4608,26.1042,43.956,3.455844,NA
"213","Mooring",2021-06-10 07:10:27,"2021",7.737,3.09794,33.4601,26.1034,43.723,3.455981,NA
"214","Mooring",2021-06-10 07:20:26,"2021",7.7409,3.09332,33.4591,26.102,43.709,3.456232,NA
"215","Mooring",2021-06-10 07:30:27,"2021",7.7426,3.07688,33.4583,26.1011,43.811,3.456304,NA
"216","Mooring",2021-06-10 07:40:27,"2021",7.7449,3.07563,33.4576,26.1003,43.796,3.456453,NA
"217","Mooring",2021-06-10 07:50:26,"2021",7.7551,3.07752,33.4544,26.0963,43.723,3.457062,NA
"218","Mooring",2021-06-10 08:00:27,"2021",7.7625,3.04913,33.4523,26.0936,43.705,3.457522,NA
"219","Mooring",2021-06-10 08:10:26,"2021",7.7634,3.03368,33.4517,26.0929,43.776,3.457552,NA
"220","Mooring",2021-06-10 08:20:27,"2021",7.7585,3.01679,33.4535,26.0951,43.731,3.457283,NA
"221","Mooring",2021-06-10 08:30:26,"2021",7.7555,3.02308,33.4544,26.0962,43.732,3.457098,NA
"222","Mooring",2021-06-10 08:40:27,"2021",7.7616,3.03245,33.4523,26.0937,43.753,3.457451,NA
"223","Mooring",2021-06-10 08:50:26,"2021",7.7611,3.01398,33.4525,26.094,43.584,3.457415,NA
"224","Mooring",2021-06-10 09:00:27,"2021",7.7632,3.03483,33.4521,26.0933,43.432,3.457558,NA
"225","Mooring",2021-06-10 09:10:27,"2021",7.7649,3.03468,33.4512,26.0923,43.514,3.45763,NA
"226","Mooring",2021-06-10 09:20:26,"2021",7.7638,3.01148,33.4522,26.0933,43.587,3.45763,NA
"227","Mooring",2021-06-10 09:30:27,"2021",7.7602,2.9398,33.4549,26.0959,43.299,3.45754,NA
"228","Mooring",2021-06-10 09:40:26,"2021",7.7581,2.94217,33.4549,26.0962,43.158,3.457349,NA
"229","Mooring",2021-06-10 09:50:27,"2021",7.7447,2.89615,33.4589,26.1013,43.205,3.456525,NA
"230","Mooring",2021-06-10 10:00:26,"2021",7.734,2.83736,33.4654,26.1079,43.104,3.456172,NA
"231","Mooring",2021-06-10 10:10:27,"2021",7.7326,2.63178,33.4744,26.1152,42.831,3.456871,NA
"232","Mooring",2021-06-10 10:20:26,"2021",7.7325,2.58161,33.4764,26.1168,42.863,3.457056,NA
"233","Mooring",2021-06-10 10:30:27,"2021",7.7333,2.59381,33.4759,26.1163,42.763,3.457068,NA
"234","Mooring",2021-06-10 10:40:27,"2021",7.7353,2.64976,33.4729,26.1136,42.75,3.456973,NA
"235","Mooring",2021-06-10 10:50:26,"2021",7.7374,2.67354,33.4711,26.1119,42.552,3.456978,NA
"236","Mooring",2021-06-10 11:00:27,"2021",7.7396,2.7118,33.4692,26.1101,42.342,3.45699,NA
"237","Mooring",2021-06-10 11:10:26,"2021",7.7415,2.74057,33.4677,26.1086,42.256,3.457014,NA
"238","Mooring",2021-06-10 11:20:27,"2021",7.7499,2.79151,33.4609,26.1021,42.285,3.457134,NA
"239","Mooring",2021-06-10 11:30:26,"2021",7.7485,2.77721,33.4629,26.1039,42.069,3.457187,NA
"240","Mooring",2021-06-10 11:40:27,"2021",7.7631,2.87328,33.4559,26.0963,42.048,3.457838,NA
"241","Mooring",2021-06-10 11:50:26,"2021",7.7761,2.91952,33.4507,26.0903,42.003,3.458519,NA
